ID	TCGA-AA-3660-11A-01R-1723-07	TCGA-AA-3522-11A-01R-A32Z-07	TCGA-AA-3511-11A-01R-1839-07	TCGA-A6-2680-11A-01R-A32Z-07	TCGA-AA-3712-11A-01R-1723-07	TCGA-AZ-6603-11A-02R-1839-07	TCGA-A6-2678-11A-01R-A32Z-07	TCGA-AZ-6599-11A-01R-1774-07	TCGA-AA-3655-11A-01R-1723-07	TCGA-A6-5665-11A-01R-1653-07	TCGA-AA-3527-11A-01R-A32Z-07	TCGA-A6-2686-11A-01R-A32Z-07	TCGA-AA-3496-11A-01R-1839-07	TCGA-AA-3514-11A-01R-A32Z-07	TCGA-A6-5659-11A-01R-1653-07	TCGA-AZ-6600-11A-01R-1774-07	TCGA-AA-3663-11A-01R-1723-07	TCGA-A6-2684-11A-01R-A32Z-07	TCGA-AA-3662-11A-01R-1723-07	TCGA-A6-2675-11A-01R-1723-07	TCGA-A6-2679-11A-01R-A32Z-07	TCGA-A6-5667-11A-01R-1723-07	TCGA-AA-3531-11A-01R-A32Z-07	TCGA-A6-2671-11A-01R-A32Z-07	TCGA-AA-3713-11A-01R-1723-07	TCGA-AA-3520-11A-01R-A32Z-07	TCGA-A6-2682-11A-01R-A32Z-07	TCGA-AZ-6601-11A-01R-1774-07	TCGA-AZ-6605-11A-01R-1839-07	TCGA-A6-5662-11A-01R-1653-07	TCGA-AZ-6598-11A-01R-1774-07	TCGA-AA-3525-11A-01R-A32Z-07	TCGA-AA-3489-11A-01R-1839-07	TCGA-AA-3517-11A-01R-A32Z-07	TCGA-AA-3518-11A-01R-1672-07	TCGA-AA-3697-11A-01R-1723-07	TCGA-AA-3534-11A-01R-A32Z-07	TCGA-A6-2685-11A-01R-A32Z-07	TCGA-A6-2683-11A-01R-A32Z-07	TCGA-CM-6169-01A-11R-1653-07	TCGA-AA-3697-01A-01R-1723-07	TCGA-A6-A56B-01A-31R-A28H-07	TCGA-A6-5659-01A-01R-1653-07	TCGA-AA-3930-01A-01R-1022-07	TCGA-DM-A1DA-01A-11R-A155-07	TCGA-CK-6747-01A-11R-1839-07	TCGA-AA-3851-01A-01R-1022-07	TCGA-D5-5538-01A-01R-1653-07	TCGA-AA-3858-01A-01R-0905-07	TCGA-AA-3833-01A-01R-0905-07	TCGA-AA-3812-01A-01R-0905-07	TCGA-AD-6548-01A-11R-1839-07	TCGA-AM-5820-01A-01R-1653-07	TCGA-CM-5344-01A-21R-1723-07	TCGA-AZ-6603-01A-11R-1839-07	TCGA-D5-6926-01A-11R-1928-07	TCGA-AZ-5407-01A-01R-1723-07	TCGA-AA-3870-01A-01R-1022-07	TCGA-A6-5666-01A-01R-1653-07	TCGA-AA-A01F-01A-01R-A002-07	TCGA-AA-A01S-01A-21R-A083-07	TCGA-AA-3713-01A-21R-1723-07	TCGA-CA-5797-01A-01R-1653-07	TCGA-NH-A5IV-01A-42R-A37K-07	TCGA-D5-6531-01A-11R-1723-07	TCGA-G4-6304-01A-11R-1928-07	TCGA-AA-3548-01A-01R-1873-07	TCGA-AY-4071-01A-01R-1113-07	TCGA-D5-6924-01A-11R-1928-07	TCGA-A6-2681-01A-01R-1410-07	TCGA-A6-2679-01A-02R-1410-07	TCGA-CM-5868-01A-01R-1653-07	TCGA-CM-6167-01A-11R-1653-07	TCGA-G4-6626-01A-11R-1774-07	TCGA-AA-3815-01A-01R-1022-07	TCGA-AA-3869-01A-01R-1022-07	TCGA-AA-3495-01A-01R-1410-07	TCGA-3L-AA1B-01A-11R-A37K-07
TTK	2.5674	2.566	2.9675	0.6999	1.7571	2.4149	2.0623	2.9666	2.2989	0.9705	1.6442	2.0931	1.9897	4.5485	1.3252	1.124	1.863	1.4653	1.9905	1.0368	2.4926	1.622	1.3468	1.0213	3.3476	2.0082	1.7678	2.4681	0.3071	2.1882	2.664	2.54	1.9458	1.2407	1.212	3.2544	2.119	3.4931	2.8877	4.4206	6.2507	6.8008	6.2712	12.8473	8.5415	5.7186	6.8802	5.2262	5.5617	3.5007	0.7176	7.3021	3.2661	5.9959	4.8192	4.8455	5.5837	2.0762	6.5731	3.7604	2.7157	5.576	8.6153	3.8501	4.1311	3.7879	4.046	2.4643	5.9452	2.4416	0.335	8.6084	2.1256	8.8675	4.4842	8.1631	5.7606	2.2215
COL1A2	28.1821	38.6436	44.6945	24.5672	39.1979	146.5072	46.3302	90.8127	22.2983	36.0821	42.6717	50.4784	74.1398	23.978	31.9284	65.1098	86.6203	20.2506	30.0609	105.5475	61.6712	47.2338	34.2323	62.0241	19.0319	49.0229	37.3386	73.4344	149.3519	68.7499	108.692	26.6076	24.8521	42.9756	45.2393	55.3426	51.2877	34.5377	31.8135	235.0091	60.7323	371.3963	85.9575	71.9199	52.6412	112.8082	73.9781	205.7413	167.9359	225.3324	212.9073	306.2576	132.3466	378.1773	230.7392	694.9509	16.4402	279.8058	35.9987	19.3881	29.2068	82.6467	163.5528	108.5003	154.2072	29.9001	125.6339	78.7243	687.2615	271.9802	62.971	205.0171	586.043	72.6378	83.8447	82.9952	47.3717	81.9197
COL4A5	0.8434	1.3517	1.2137	0.4339	1.3965	0.4898	1.1302	1.5017	0.4647	0.5922	0.8529	0.9991	0.7403	0.4059	0.9353	1.1336	0.8474	0.6488	0.8632	1.0136	0.9843	1.0703	0.4035	0.5431	0.4397	0.7708	0.6514	0.7947	0.6144	0.7654	0.8432	0.6963	0.3535	0.668	0.7728	0.4105	1.4409	0.7104	0.7377	0.5578	0.5343	0.0622	0.2694	0.1274	0.0162	0.9883	0.4594	0.9572	0.4406	0.1486	0.216	0.0929	0.0771	0.0561	0.6543	0.0692	0.4751	0.0607	0.0771	0.2059	0.049	0.4905	0.6956	0.0405	0.01	0.5611	0.2804	0.6377	0.5001	0.1073	0.2068	0.0401	0.5934	0.0665	0.0413	0.1231	0.4154	1.2652
KIAA1549	0.3536	0.4913	0.6593	0.2368	0.5115	0.672	0.4628	0.7107	0.3932	0.2069	0.4868	0.4505	0.4822	0.2974	0.334	0.5062	0.6136	0.3021	0.7359	0.7638	0.4548	0.5193	0.1854	0.4055	0.2198	0.4009	0.4465	0.5675	0.7401	0.4604	0.4815	0.2848	0.2383	0.3994	0.4555	0.3464	0.4775	0.3453	0.5213	2.3476	2.9147	4.6337	4.7912	2.8264	2.7533	2.5422	1.2428	1.5294	1.1499	1.8554	1.7377	1.8222	4.2686	1.3363	3.1824	2.7897	1.8914	2.3473	1.5804	5.2371	1.811	5.0077	2.9467	3.7922	3.0271	1.4164	1.3537	2.1593	3.9016	2.0851	1.5958	1.2501	1.1101	2.8089	1.1243	1.9632	1.6563	4.5553
PTPN13	0.4369	0.6795	0.7478	0.4924	0.8371	2.7842	1.117	1.3117	0.6722	0.6266	0.6763	0.5641	1.8018	0.4391	0.4713	0.9541	1.0242	0.3908	0.7708	1.7539	0.9491	0.9409	0.4253	0.6553	0.3587	0.4455	0.4553	1.1652	2.4084	1.6345	1.3891	0.5675	0.9956	0.5683	0.5736	0.7868	0.7915	0.6149	0.6068	4.1385	0.274	1.0694	0.511	0.6369	3.0175	2.3742	1.1948	8.5694	0.2522	1.4477	0.2532	3.4544	5.1479	0.9972	0.6012	5.8616	3.9079	1.6433	0.1178	0.2574	0.6076	5.1544	0.3304	5.4266	1.2569	1.6053	0.8295	1.1586	1.361	2.3591	0.2746	0.4687	2.1009	0.1246	4.5254	2.7843	3.9614	4.4491
UTP20	1.316	2.5766	3.0794	0.8493	2.2418	2.6137	2.1262	2.9712	1.4218	1.7598	1.8765	1.8412	2.1386	2.3471	2.1583	3.1937	2.4768	1.3229	2.1369	3.4512	2.242	2.0665	1.069	1.5938	2.276	2.3675	2.2806	3.1493	1.9516	1.9526	2.2465	1.9278	1.8515	2.0937	1.6885	3.3048	2.2686	2.2329	2.5703	5.4479	6.5666	3.9699	6.1944	4.9196	4.4909	4.5872	3.4032	4.3767	4.7614	1.9447	0.8629	5.3558	7.9628	3.5889	5.7699	7.2365	5.0953	2.4797	6.2779	2.7132	3.6614	6.7794	6.2074	5.3293	6.5557	4.096	2.3835	2.2266	5.847	3.1064	1.3154	4.5911	3.8789	6.0909	2.297	2.7995	3.8134	6.0828
BOC	0.5297	0.8228	1.0356	1.8345	0.9766	7.4305	1.8766	2.9355	1.567	1.0014	1.7134	1.0538	6.2815	0.773	1.0624	1.7775	3.4432	0.5326	1.3208	4.0051	1.0545	1.2565	0.7349	1.9047	0.6356	0.7972	0.8334	3.4446	9.5322	3.2177	2.6952	0.5311	3.6457	1.023	1.4353	2.1132	1.1466	0.8971	0.8392	2.3087	0.1889	0.6553	1.2511	0.2994	0.096	0.4414	0.4478	0.7576	0.5631	1.0094	1.7765	0.8641	0.9421	0.919	1.3915	1.8167	0.1047	1.3107	0.1034	0.0315	0.0693	0.5338	0.7274	0.6329	0.8741	0.0519	0.494	0.5871	2.2288	2.3039	0.7723	0.6295	7.8396	0.0921	0.406	0.3601	0.2331	1.5073
THBS2	0.3384	0.9205	0.7211	1.1791	0.5134	9.8331	2.3854	4.5851	1.0644	1.1373	1.33	1.6076	7.2068	0.3771	0.5382	2.8865	2.9884	0.2728	1.1436	4.6666	0.9031	1.0097	0.8873	1.6336	0.5955	1.4361	0.3493	3.0486	6.8806	3.2508	3.5447	0.332	2.2349	1.1705	1.804	2.9772	1.2184	0.6299	0.9418	23.8768	1.7309	13.1945	5.8838	3.1989	1.0131	3.9439	3.9918	29.3685	5.5897	10.5743	51.399	12.4448	3.9513	17.4179	10.465	67.3222	0.0568	22.1357	3.4509	0.483	1.0441	4.0651	8.6193	13.4437	10.3777	0.7702	5.3719	3.691	42.795	24.3071	5.393	8.269	23.4647	1.3863	5.6304	8.5105	1.6174	5.0736
SALL2	0.5474	0.7227	0.926	2.0503	0.578	3.7298	1.3354	1.1996	1.3783	0.4198	1.2159	0.9125	3.8582	0.5298	0.4477	0.3386	2.452	0.525	1.3392	3.4813	0.7362	0.675	0.6194	1.1353	0.3113	0.7719	0.5095	1.6031	7.3259	2.4193	1.4191	0.6387	1.9246	0.7769	1.1717	1.0886	1.0324	0.694	0.6767	0.5501	0.1269	0.2401	0.2786	0.1277	0.0297	0.3247	0.2714	0.2656	0.2543	0.3373	0.6402	0.2163	0.2654	0.3447	0.4485	0.7456	0.0923	0.4549	0.1795	0.0404	0.0249	0.1605	0.2953	0.1319	0.2523	0.3239	0.134	0.1922	0.686	0.5345	0.1995	0.2042	3.0118	0.2543	0.0506	0.2139	0.1704	0.829
NCAPD3	1.8254	2.7133	3.7969	1.2952	2.4308	2.5913	2.1226	3.0367	1.9477	1.4145	1.9174	2.0657	2.2888	3.1392	1.4123	2.3971	2.2012	1.4908	2.0218	1.9556	2.5556	2.4331	1.257	1.5575	2.2663	2.1086	2.3282	2.4311	1.2697	2.0338	2.2498	2.3116	1.9998	1.8282	1.3329	3.1428	2.4978	3.4848	2.5528	3.5089	6.6562	8.101	6.13	6.5968	5.3611	5.9798	4.2168	4.6968	7.6374	3.2819	2.5495	6.1183	5.2742	3.8019	6.1405	6.6517	4.3657	4.3375	5.981	3.4759	7.4129	8.1697	6.6013	4.8231	5.4076	4.3807	4.308	2.1301	6.0093	5.1333	2.8249	5.3482	3.1985	11.0534	4.6769	4.2431	4.208	3.3396
PLXNA2	7.1904	12.4952	11.0129	11.5593	11.8002	5.0218	11.3522	10.5361	4.2384	14.3791	9.1987	10.4446	4.2074	9.3456	9.8041	12.7436	8.1426	8.5864	7.2456	10.5815	9.2497	13.3316	12.7266	11.1118	4.145	12.4449	11.5982	10.7005	2.7198	8.0755	8.2516	9.3023	1.7267	10.5754	11.3227	6.2603	11.7266	12.6963	12.2349	4.1567	4.1534	5.6942	5.0403	2.5961	3.7073	7.6486	2.7327	3.1725	5.7478	3.6345	5.2152	3.6248	4.84	3.6688	5.9442	4.3646	3.2776	7.2515	2.5816	6.2537	7.5213	7.2429	6.4398	5.7015	2.8479	3.5711	3.5737	4.5879	6.3956	5.9288	3.1137	2.8299	4.8977	3.4741	2.8009	2.9973	3.9057	5.4256
LAMC3	0.3431	2.2181	0.6926	0.0494	1.6669	0.2474	2.1211	1.1058	0.194	0.7696	1.2788	0.9171	0.5217	0.528	1.1555	1.4484	1.0756	1.103	0.5902	0.5396	1.0108	1.0226	0.3555	1.261	0.839	1.4298	1.2486	0.7459	0.1548	0.5139	1.0654	1.4348	0.3796	0.9625	0.9897	0.8628	1.0294	0.2881	1.4734	0.8853	0.7568	0.716	0.343	0.2768	0.0787	0.2298	0.3105	0.0561	0.6726	0.9692	1.013	0.6901	0.0724	0.197	1.0867	0.8367	0.1831	0.4888	0.0938	0.1155	0.1601	0.4995	0.6813	0.0023	0.2798	0.06	0.18	0.6206	1.1501	0.5242	0.841	0.25	0.2105	0.1194	0.128	0.4211	0.5068	0.5985
NUGGC	0.8667	1.0833	6.9798	0.1788	1.6552	0.599	1.2905	0.7427	0.7423	1.0233	1.0538	0.6252	0.7042	1.0166	1.4331	1.1724	1.1187	0.7774	0.8305	0.2684	2.026	0.9597	0.599	0.9909	1.1059	1.0438	2.1536	1.0106	0.0437	0.3199	1.0877	3.9386	0.5021	1.6129	0.7125	1.3962	2.2528	0.7661	1.1751	0.4014	0.2586	0	0.0438	0.2903	0.0596	0.1299	0.2541	0.399	0.1822	0.2707	0.0797	0.1523	0.0111	0.0355	0.093	0.1983	0.305	0.3102	0.1011	0.027	0	0.5675	0.0359	0.2647	0.3611	0.0778	0.2619	0.479	0.9986	0.0817	0.0381	0.0364	0.2873	0.0404	0.3248	0.0991	0.3705	0.322
LTBP4	32.925	38.3084	45.5664	34.0355	62.883	24.9497	60.3841	36.4554	29.5064	32.4946	29.4369	37.2503	40.7346	17.7295	19.9317	75.912	54.2459	30.3274	44.1475	74.5982	48.4496	56.5695	20.9581	60.1527	13.2748	32.14	35.2176	43.8229	58.7357	42.8178	54.1755	22.9787	16.093	37.9135	45.5299	30.7855	48.4214	31.1533	30.1923	13.1236	7.7202	34.5429	9.1294	9.3383	14.5527	15.2817	20.8461	7.3925	22.9578	55.4395	49.4664	6.7547	7.6433	14.4919	15.735	13.6284	46.2909	35.4333	7.9241	14.0918	17.0317	19.77	11.5053	15.9353	5.9956	9.4974	26.1544	22.0878	14.1232	27.8148	39.8005	7.4939	21.2011	10.1879	7.159	6.5804	4.9353	15.1226
CACNA1D	0.3025	0.474	0.6917	0.9375	0.5943	0.3886	0.4778	0.6689	0.2461	0.3743	0.3284	0.4086	0.3384	0.1897	0.4352	0.5408	0.3563	0.3059	0.6047	0.3968	0.2526	0.3943	0.2268	0.2904	0.3566	0.4066	0.5599	0.4609	0.1523	0.2236	0.5186	0.2542	0.1971	0.2977	0.3758	0.2225	0.5117	0.3914	0.4674	1.1197	1.8785	2.39	1.0703	0.0716	0.1842	0.3776	0.3909	0.544	1.139	0.2785	0.9775	0.362	0.3025	1.0839	2.3533	2.4795	0.5849	0.3979	0.8057	1.2685	1.1239	1.6055	1.6302	0.3027	1.0543	0.4614	0.5233	1.4435	1.7096	1.382	0.5998	0.9052	0.8353	1.5711	0.6558	0.7549	1.0522	1.8321
PTPRC	6.0442	5.7042	21.4722	2.8035	6.0027	6.4669	4.239	2.936	7.2308	6.5535	5.7851	4.1481	6.5847	8.9712	6.3654	5.2454	6.074	4.4524	6.4621	2.6331	12.8741	5.7305	5.3609	3.3065	5.7231	6.4385	8.0314	6.4059	1.064	10.0837	4.5066	15.7286	10.6253	13.3381	4.5054	9.4364	11.1798	6.6324	5.58	13.588	3.3242	1.0472	1.8259	5.3447	0.6122	2.5358	3.3036	8.2576	1.5782	3.3215	0.5944	4.8256	1.1151	0.9031	3.6196	4.7307	3.2254	3.1266	0.7875	0.4503	0.122	7.0802	2.0242	5.5205	3.1521	0.8387	1.5489	3.9488	8.0038	1.7171	1.0542	0.6573	6.8097	0.5492	6.2081	5.2172	2.602	3.5066
NOTCH3	1.7801	2.1474	2.6733	1.4564	3.6069	6.5634	4.8812	19.2238	1.3622	2.602	2.1802	2.6943	4.2664	1.1184	1.5965	8.9096	3.6832	1.6718	3.4848	5.8047	3.5938	2.2711	2.2261	3.2103	0.7826	2.5591	1.9981	5.1569	6.6554	3.3613	8.8048	1.3166	1.1012	2.9635	4.9585	3.5939	5.2125	1.5035	3.5798	20.6517	6.0362	15.5754	6.5007	5.3252	4.7351	8.2752	6.1229	10.1214	10.3706	9.4456	23.8507	10.1302	8.0455	22.4486	15.1776	18.7407	3.1059	22.8281	2.9155	1.888	4.0936	5.2551	8.7111	8.175	10.6306	2.2855	8.4547	6.037	17.4655	19.2456	5.4464	12.2288	23.1601	6.1064	5.6618	6.4116	4.4434	8.9611
ASXL1	2.7283	3.6137	5.2425	2.9506	4.8328	5.0002	3.8997	4.9007	2.894	2.6253	3.1322	2.5493	4.1493	2.4217	2.6591	3.5536	3.6167	2.816	4.5663	4.7169	3.2207	4.5868	2.0464	2.6743	2.6394	2.9034	3.3508	4.8147	5.094	3.7813	4.4509	3.6407	3.0738	3.6202	3.185	3.3146	4.5284	2.957	3.4474	11.7858	9.7176	18.5358	8.7876	3.995	4.8639	4.4817	4.0661	5.2679	8.6282	3.4557	5.1332	6.8343	4.3269	5.2259	13.7817	15.4466	3.5083	4.1182	5.3961	7.0936	10.3355	5.7664	7.7103	7.2764	5.7469	4.5534	4.5345	8.9247	13.4495	6.3086	7.1233	5.8918	10.0875	9.4686	4.8945	4.2844	10.5663	8.1223
ADCY5	1.2019	2.4984	2.9072	2.8456	3.6114	7.5863	3.6014	4.3886	3.2647	2.598	3.483	2.4593	7.3356	1.4622	2.2449	4.038	6.1637	1.2543	2.8041	6.9007	2.887	4.4005	3.0714	4.537	0.981	2.0531	1.9731	6.6333	17.7578	6.9393	5.6208	2.104	3.3556	2.3603	3.7163	2.7857	2.5123	3.0523	2.5507	0.9776	0.3369	0.3375	0.7607	0.1173	0.0604	0.8764	0.1187	0.6726	0.3574	0.5311	2.2366	0.6423	1.2269	0.4958	0.7208	0.9949	0.1389	0.515	0.0372	0.0596	0.5343	0.3335	0.5183	0.2826	0.3194	0.4849	0.3989	0.5902	0.5647	1.6832	0.1122	0.5804	6.9634	0.0792	0.2323	0.2321	0.3145	1.307
CADPS	0.205	0.4198	0.5184	0.3545	0.4044	0.5405	0.4322	0.352	0.1955	0.3681	0.3803	0.3805	0.5405	0.1609	0.3257	0.3016	0.3392	0.2001	0.3899	0.4454	0.4092	0.2883	0.1846	0.2732	0.1948	0.3406	0.2377	0.2692	0.43	0.413	0.6287	0.291	0.325	0.3956	0.3435	0.2856	0.3619	0.3129	0.2317	2.8303	2.3687	1.175	2.11	0.9279	0.8766	1.1085	3.337	2.5641	1.8066	0.1627	1.2077	0.3524	2.2086	1.2816	3.3554	1.7104	1.594	3.3461	1.2186	2.3557	0.0885	0.5696	3.3559	0.0655	1.6278	0.1494	2.2846	4.8507	4.4952	1.5724	0.9415	0.3547	0.5372	4.3114	0.1597	2.8841	0.8485	3.5681
SLIT2	0.5814	0.96	1.1949	1.569	0.9093	3.5947	1.3993	1.4314	1.1014	0.9166	1.6729	1.3919	6.0252	0.9721	1.2016	1.7173	3.2742	0.4367	1.2603	4.2854	1.4324	0.9643	0.8048	1.5977	0.6901	1.1291	0.8966	2.2133	9.6816	3.0946	1.9023	0.7821	2.4691	0.9034	1.3601	1.4684	1.3213	0.8275	1.046	2.0771	0.144	0.9732	0.6676	0.2857	0.0549	0.3908	0.7436	0.6891	0.1325	0.4875	0.6662	0.478	0.597	0.8492	0.6427	2.0378	0.1716	0.5076	0.1424	0.0196	0.1091	0.2696	0.4383	0.4624	0.6071	0.1697	0.5513	0.1232	0.8636	1.4485	0.4159	0.5561	4.6743	0.1237	0.0984	0.5923	0.1554	0.5485
CELSR3	0.2497	0.2843	0.424	0.1783	0.5932	0.3696	0.2202	0.3772	0.2626	0.2175	0.4038	0.2657	0.1502	0.1704	0.2175	0.2826	0.1705	0.2196	0.3629	0.2666	0.4055	0.2871	0.1933	0.3498	0.1468	0.1787	0.3122	0.4712	0.2062	0.1367	0.414	0.4542	0.0991	0.2662	0.1878	0.1861	0.4259	0.2108	0.172	1.5509	2.3249	8.3938	2.6355	0.8088	1.3265	2.9967	1.6454	1.8039	1.7399	0.2247	2.3434	0.9792	0.6205	0.9568	0.6149	5.1632	0.9199	0.5339	1.3601	1.7609	1.463	2.9235	1.2222	3.2064	1.5997	2.056	1.626	1.8196	2.0492	2.8224	2.2264	1.9124	1.9199	7.7564	0.7472	3.1145	0.5134	4.7931
TGIF1	8.1303	6.9013	6.1267	2.6234	5.5345	6.3491	6.4694	7.661	7.9702	3.5276	5.271	5.0475	5.5123	4.1122	6.513	9.8463	8.0239	6.7454	7.8428	4.2315	5.4516	6.4468	2.7234	4.4624	7.7227	5.9165	7.1836	5.584	2.9109	5.2242	5.407	5.5875	6.8061	5.4395	6.0545	5.1405	6.5742	5.2901	6.5151	11.707	14.8628	15.5354	15.1923	8.7587	14.1589	21.4436	15.4995	10.0667	11.7131	12.1946	8.5359	10.3598	13.5012	19.1626	11.3808	15.8113	14.9788	8.7502	17.4262	7.9126	8.9174	7.5902	11.6676	18.8305	15.2548	16.481	10.0132	9.8537	12.1204	7.7288	5.3461	8.8641	12.422	19.731	16.2838	8.1312	7.0399	14.6354
SETBP1	0.6456	1.159	1.5027	0.9279	1.149	2.8532	1.3334	1.3783	1.0127	0.7544	1.0701	0.9152	2.3206	0.6389	0.9781	1.5156	1.9392	0.5009	1.4615	3.4027	0.7941	1.1279	0.5412	1.3158	0.5037	0.8638	1.0091	1.8098	7.1374	2.6568	1.7291	0.8533	1.4247	1.1474	1.1521	0.9842	1.1989	0.7257	0.8681	0.8707	0.1882	0.2918	0.4013	0.1629	0.0457	0.6093	0.2784	0.2308	0.2045	0.4087	0.2011	0.3076	0.2863	0.3068	0.535	0.3338	0.0998	0.1707	0.0567	0.0568	0.0156	0.9309	0.2547	0.2053	0.568	0.0561	0.2166	0.3179	0.5981	0.3295	0.1818	0.1635	2.7873	0.1148	0.3721	0.2069	0.1639	0.7895
ABI3BP	2.8566	3.5667	5.4797	2.3949	3.7133	14.4252	5.7301	11.03	3.2958	3.3986	2.8285	3.1836	8.1325	1.4601	2.752	6.2509	5.7939	1.3521	4.4079	15.045	4.1133	4.6212	2.6705	3.0821	2.067	3.2672	2.0958	5.6297	8.6554	8.2648	8.8302	2.0456	3.7962	4.3911	4.1692	3.2946	3.5666	3.0759	2.5494	2.501	0.1837	0.5214	0.894	0.4445	0.0655	0.696	0.3815	0.2971	0.4141	0.3639	0.219	0.6512	0.3741	0.2037	0.9173	0.376	0.4578	0.4111	0.1274	0.1583	0.0367	0.6391	0.425	0.2531	0.2626	0.0285	0.2324	0.7324	0.5045	0.5766	0.0559	0.1835	6.309	0.1099	0.1935	0.3348	0.4335	1.1233
MUC6	0.0107	0.0093	0.0216	0.0078	0.1066	0.0294	0.0526	0.0272	0.0029	0.0833	0	0.0081	0	0.0047	0.0459	0.0159	0.0428	0.0051	0.0033	0.0298	0.0188	0.046	0.0185	0.0309	0	0.0089	0.0293	0.0308	0.0078	0.0538	0.0456	0.1127	0	0.016	0.0073	0.0048	0.0189	0.015	0.0166	0.0383	0.0116	0.0365	0.0052	9.1627	0.0208	0.314	0.202	0.003	0.2259	20.153	0.2754	0.0097	0.0079	0.0085	0.0266	0.0162	0.0208	0.1707	0.006	0.0386	0.1643	0.0293	0	22.5245	0.0339	31.0667	0.0197	0.0724	0.0086	0.0828	2.9272	0.0109	0.0223	0.7974	2.7949	0.1155	0.0408	0.2388
COL3A1	86.2803	119.1551	91.4673	38.7978	119.3276	245.6805	121.2427	168.0367	56.9745	69.4977	93.4464	106.9457	135.1713	57.0167	91.4611	72.6189	176.7464	54.3239	50.5069	169.7147	110.826	115.6875	62.8578	129.0556	67.1979	115.3256	116.7989	155.8287	286.6232	113.9004	150.7283	79.336	66.5381	68.9474	63.6142	124.5733	121.6131	80.8576	81.4681	409.2042	108.2597	489.2829	140.774	135.1195	68.801	199.2995	112.6395	393.0209	259.03	365.4235	296.4339	425.5202	237.1905	511.5154	370.9214	1331.4416	33.1893	403.0321	74.5136	36.2976	38.7601	133.2937	297.5345	134.905	223.9939	43.0563	165.0271	131.2882	1123.808	395.0121	60.7253	295.7465	1050.0639	94.8967	148.654	205.1933	102.069	134.3176
ABCB1	14.9865	16.1283	21.7684	84.8608	24.7092	1.451	17.7345	13.7166	6.4292	38.7954	17.0751	42.5107	14.0473	20.2031	30.7195	13.7618	9.9087	17.5704	9.4704	30.7058	12.4407	25.1224	51.1911	30.2659	8.5852	45.6076	24.3815	15.4664	3.1747	16.4154	7.1277	9.9323	3.1902	15.1458	36.0653	8.1185	14.9033	30.3846	18.9946	17.0928	3.0236	33.1289	9.4684	2.2259	6.2645	6.4151	4.8754	9.5777	0.8373	1.866	6.8383	4.6149	16.4266	12.7996	1.533	2.6347	14.7238	1.5103	0.2771	0.5582	2.5562	4.1872	34.6326	3.6592	27.6227	8.3045	1.477	7.1162	7.5141	6.4133	4.8255	3.2202	2.7883	3.3962	1.9506	11.965	14.6885	46.4139
AMOTL1	0.9353	1.5173	2.4009	3.5228	1.6068	13.1774	2.9958	2.9837	4.6736	1.8174	3.5937	2.104	15.1203	1.2706	2.1754	2.563	7.3888	0.8841	4.3454	18.4055	1.8198	2.6862	1.6948	4.8094	1.9528	1.4567	1.2305	8.7336	27.7085	9.7707	5.3274	1.0137	11.7471	1.7156	3.2545	3.4232	1.8712	1.8008	1.4021	4.5301	0.6032	1.8776	1.5041	0.9319	0.2423	1.0278	0.6311	1.5831	0.9162	1.4327	2.0214	1.6047	1.9673	1.9095	2.0508	3.9536	0.2709	1.6132	0.3396	0.1625	0.1918	1.0379	1.6465	0.9559	1.6128	0.1293	0.3926	0.8438	3.104	2.0245	0.4436	1.2309	13.1029	0.3401	0.7548	0.9052	0.6289	2.081
GRIK5	0.3658	0.3272	0.4766	0.962	0.446	4.2818	0.8772	0.8711	1.4557	0.4357	0.7845	0.5223	4.464	0.5609	0.4292	0.5774	3.037	0.2969	0.7822	4.4789	0.5917	0.6973	0.3933	1.4641	0.4109	0.38	0.3989	2.1219	9.2322	3.2215	2.4248	0.3647	1.8235	0.5381	0.7964	1.0965	0.4724	0.5064	0.2934	0.3006	0.0714	0.2332	0.3299	0.2193	0.0606	0.0108	0.0388	0.1701	0.1267	0.3311	0.5914	0.2241	0.3918	0.2088	0.2277	0.4184	0.0233	0.5937	0.0811	0.0542	0.0624	0.16	0.2429	0.3374	0.2898	0.0624	0.1881	0.1125	0.2094	0.6148	0.4284	0.0913	3.2871	0.1296	0.1086	0.0883	0.0801	0.2775
DOCK6	3.0746	4.1147	4.7243	4.1132	5.6611	3.933	3.9928	4.7967	3.0212	2.7768	2.8567	3.3262	2.7366	2.008	2.742	4.2492	3.2647	3.0708	4.1658	3.835	3.0943	5.0839	3.0858	4.2451	2.0188	3.5128	4.1044	4.1382	2.4914	2.8802	4.1182	2.9936	1.7291	3.1726	3.9125	3.3908	4.9431	3.7176	3.3798	6.5449	8.143	19.25	5.4793	4.7035	6.0626	6.1223	4.7686	5.1123	13.9145	6.2777	11.9713	5.7717	7.9605	7.3559	9.9044	9.8153	7.1282	7.8997	5.7227	8.8194	11.2095	8.9614	5.782	9.7929	6.335	8.351	6.4902	8.6889	8.5816	10.5873	7.2293	5.2552	6.0052	8.6446	6.0715	3.6912	4.2463	12.1534
